Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	extinction_rate	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]
85	1	-330.8999	-192.2394	-138.6604	212938.4	0.1493311	3033.253	0.0002117071	0.997247	0.999295	1.0007	1.00276	0.1485322	2954.277	2261.927	2264.676	2427.827	2511.076	2153.297	2393.371	2251.548	2288.413	2392.392
86	0	-333.7564	-192.2394	-141.5169	63464.78	0.1528468	3065.39	0.0001977064	0.994959	0.998707	1.00128	1.00505	0.1538032	2978.758	2268.441	2301.551	2427.816	2537.75	2170.366	2408.386	2365.643	2268.278	2379.855
87	1	-330.6002	-192.2394	-138.3608	314074.7	0.1543847	3014.541	0.0002596738	0.997733	0.99942	1.00058	1.00227	0.1572316	2975.268	2269.132	2344.786	2472.384	2512.528	2227.994	2392.802	2255.121	2327.882	2408.31
88	0	-334.2478	-192.2394	-142.0084	229820.6	0.1545795	3059.962	0.0001595235	0.99735	0.999322	1.00068	1.00265	0.1558623	2952.513	2216.595	2344.044	2448.819	2508.685	2304.736	2397.256	2362.073	2340.916	2412.743
89	1	-330.1041	-192.2394	-137.8646	147022.9	0.1408927	3000.84	0.0001995228	0.996687	0.999151	1.00084	1.00332	0.1446181	2966.847	2258.46	2280.847	2462.237	2549.181	2213.126	2401.121	2324.463	2299.755	2401.011
90	0	-330.358	-192.2394	-138.1185	965352.9	0.1514829	3020.178	0.0001565177	0.998707	0.999669	1.00033	1.00129	0.1474145	2958.719	2217.501	2264.143	2425.851	2507.808	2318.842	2400.149	2349.924	2349.287	2395.665
91	1	-332.7387	-192.2394	-140.4993	186023.1	0.1358706	3086.768	0.0001623863	0.997054	0.999246	1.00075	1.00295	0.1345533	2960.435	2257.748	2310.368	2473.309	2537.035	2170.363	2405.401	2364.633	2341.113	2416.394
92	0	-325.6669	-192.2375	-133.4294	379717.8	0.1565064	3037.987	0.0002948551	0.997938	0.999472	1.00053	1.00206	0.1531029	2967.785	2267.927	2295.218	2450.356	2508.175	2134.189	2394.673	2315.87	2306.631	2378.434
93	1	-327.3272	-192.2394	-135.0878	53985.69	0.1314802	3035.352	0.0002058934	0.994535	0.998597	1.00139	1.00548	0.1309719	2972.133	2243.868	2313.1	2439.117	2547.332	2179.019	2390.047	2339.78	2262.24	2398.06
94	0	-327.9693	-192.2394	-135.7299	439638.7	0.1408448	3005.088	0.0001168202	0.998084	0.99951	1.00049	1.00192	0.1424201	2950.951	2268.913	2314.915	2451.568	2540.857	2214.358	2395.449	2307.171	2274.941	2376.861
95	1	-334.9522	-192.2394	-142.7128	427987.2	0.1254218	3040.207	0.000205864	0.998058	0.999503	1.0005	1.00194	0.1234776	2952.524	2241.471	2314.803	2459.423	2515.008	2171.793	2400.712	2357.721	2347.716	2409.469
96	0	-331.4583	-192.2394	-139.2189	412199.5	0.1311262	2993.333	0.0004350665	0.998021	0.999494	1.0005	1.00198	0.1339229	2959.076	2217.723	2313.737	2429.216	2540.686	2140.437	2395.126	2256.014	2250.957	2389.297
97	1	-323.5753	-192.2395	-131.3358	929073.5	0.1305667	3025.102	0.0003094762	0.998682	0.999663	1.00034	1.00132	0.1255724	2954.876	2248.162	2300.802	2469.202	2534.071	2140.855	2401.184	2251.386	2345.153	2379.649
98	0	-319.3351	-192.2385	-127.0965	734639.2	0.1292295	3038.977	0.0003974239	0.998517	0.999621	1.00038	1.00148	0.1328103	2957.575	2231.719	2346.971	2471.069	2518.497	2241.708	2406.963	2298.625	2297.691	2402.945
99	1	-327.6927	-192.2394	-135.4533	388712.1	0.1246519	2990.278	0.0002166119	0.997962	0.999479	1.00052	1.00204	0.123272	2971.337	2250.839	2341.229	2469.523	2526.756	2172.857	2396.483	2270.245	2343.123	2404.025
100	0	-329.3574	-192.2394	-137.118	653090.4	0.1364042	3073.208	0.0002407773	0.998428	0.999598	1.0004	1.00157	0.1372162	2961.448	2265.634	2316.659	2461.166	2549.102	2159.147	2390.969	2272.195	2327.888	2415.482
101	1	-335.0467	-192.2394	-142.8073	80255.02	0.1191407	3064.531	0.0001976467	0.995517	0.99885	1.00114	1.00449	0.1161099	2967.712	2265.685	2267.879	2446.137	2503.63	2136.951	2398.214	2299.419	2324.851	2420.01
102	0	-326.6536	-192.2475	-134.4061	250325.4	0.1287146	3081.562	0.0002824845	0.997461	0.99935	1.00065	1.00254	0.1311526	2961.597	2253.424	2301.967	2456.205	2501.138	2142.471	2405.055	2312.06	2337.591	2397.67
